date,value
2008-06-30,10.9
2008-09-30,9.5
2008-12-31,7.1
2009-03-31,6.4
2009-06-30,8.2
2009-09-30,10.6
2009-12-31,11.9
2010-03-31,12.2
2010-06-30,10.8
2010-09-30,9.9
2010-12-31,9.9
2011-03-31,10.2
2011-06-30,10.0
2011-09-30,9.4
2011-12-31,8.8
2012-03-31,8.1
2012-06-30,7.7
2012-09-30,7.5
2012-12-31,8.1
2013-03-31,7.9
2013-06-30,7.6
2013-09-30,7.9
2013-12-31,7.7
2014-03-31,7.5
2014-06-30,7.6
2014-09-30,7.2
2014-12-31,7.3
2015-03-31,7.1
2015-06-30,7.1
2015-09-30,7.0
2015-12-31,6.9
2016-03-31,6.9
2016-06-30,6.8
2016-09-30,6.8
2016-12-31,6.9
2017-03-31,7.0
2017-06-30,7.0
2017-09-30,6.9
2017-12-31,6.8
2018-03-31,6.9
2018-06-30,6.9
2018-09-30,6.7
2018-12-31,6.5
2019-03-31,6.3
2019-06-30,6.0
2019-09-30,5.9
2019-12-31,5.8
2020-03-31,-6.9
2020-06-30,3.1
2020-09-30,4.8
2020-12-31,6.4
2021-03-31,18.7
2021-06-30,8.3
2021-09-30,5.2
2021-12-31,4.3
2022-03-31,4.8
2022-06-30,0.4
2022-09-30,3.9
2022-12-31,2.9
2023-03-31,4.5
2023-06-30,4.5
2023-09-30,6.3
