date,value
2008-06-30,4.0
2008-09-30,4.0
2008-12-31,4.2
2009-03-31,4.3
2009-06-30,4.3
2009-09-30,4.3
2009-12-31,4.3
2010-03-31,4.2
2010-06-30,4.2
2010-09-30,4.1
2010-12-31,4.1
2011-03-31,4.1
2011-06-30,4.1
2011-09-30,4.1
2011-12-31,4.1
2012-03-31,4.1
2012-06-30,4.1
2012-09-30,4.1
2012-12-31,4.1
2013-03-31,4.1
2013-06-30,4.1
2013-09-30,4.0
2013-12-31,4.1
2014-03-31,4.1
2014-06-30,4.1
2014-09-30,4.1
2014-12-31,4.1
2015-03-31,4.1
2015-06-30,4.04
2015-09-30,4.05
2015-12-31,4.05
2016-03-31,4.04
2016-06-30,4.05
2016-09-30,4.04
2016-12-31,4.02
2017-03-31,3.97
2017-06-30,3.95
2017-09-30,3.95
2017-12-31,3.9
2018-01-31,5.0
2018-02-28,5.0
2018-03-31,5.1
2018-04-30,4.9
2018-05-31,4.8
2018-06-30,4.8
2018-07-31,5.1
2018-08-31,5.0
2018-09-30,4.9
2018-10-31,4.9
2018-11-30,4.8
2018-12-31,4.9
2019-01-31,5.1
2019-02-28,5.3
2019-03-31,5.2
2019-04-30,5.0
2019-05-31,5.0
2019-06-30,5.1
2019-07-31,5.3
2019-08-31,5.2
2019-09-30,5.2
2019-10-31,5.1
2019-11-30,5.1
2019-12-31,5.2
2020-01-31,5.3
2020-02-29,6.2
2020-03-31,5.9
2020-04-30,6.0
2020-05-31,5.9
2020-06-30,5.7
2020-07-31,5.7
2020-08-31,5.6
2020-09-30,5.4
2020-10-31,5.3
2020-11-30,5.2
2020-12-31,5.2
2021-01-31,5.4
2021-02-28,5.5
2021-03-31,5.3
2021-04-30,5.1
2021-05-31,5.0
2021-06-30,5.0
2021-07-31,5.1
2021-08-31,5.1
2021-09-30,4.9
2021-10-31,4.9
2021-11-30,5.0
2021-12-31,5.1
2022-01-31,5.3
2022-02-28,5.5
2022-03-31,5.8
2022-04-30,6.1
2022-05-31,5.9
2022-06-30,5.5
2022-07-31,5.4
2022-08-31,5.3
2022-09-30,5.5
2022-10-31,5.5
2022-11-30,5.7
2022-12-31,5.5
2023-01-31,5.5
2023-02-28,5.6
2023-03-31,5.3
2023-05-31,5.2
2023-06-30,5.2
2023-09-30,5.3

