date,value
2008-06-30,1.4
2008-09-30,-0.9
2008-12-31,-3.7
2009-03-31,-6.0
2009-06-30,-5.9
2009-09-30,-4.3
2009-12-31,-1.8
2010-03-31,1.1
2010-06-30,2.6
2010-09-30,3.1
2010-12-31,2.9
2011-03-31,2.2
2011-06-30,1.1
2011-09-30,0.6
2011-12-31,0.4
2012-03-31,1.0
2012-06-30,0.9
2012-09-30,2.0
2012-12-31,1.9
2013-03-31,1.3
2013-06-30,2.1
2013-09-30,1.6
2013-12-31,2.3
2014-03-31,3.0
2014-06-30,3.2
2014-09-30,3.3
2014-12-31,3.3
2015-03-31,2.7
2015-06-30,2.5
2015-09-30,2.1
2015-12-31,2.2
2016-03-31,2.2
2016-06-30,2.2
2016-09-30,2.2
2016-12-31,2.1
2017-03-31,2.5
2017-06-30,2.4
2017-09-30,2.5
2017-12-31,2.4
2018-03-31,1.8
2018-06-30,1.8
2018-09-30,1.8
2018-12-31,1.4
2019-03-31,1.9
2019-06-30,1.6
2019-09-30,1.6
2019-12-31,1.3
2020-03-31,-2.0
2020-06-30,-22.6
2020-09-30,-10.3
2020-12-31,-9.2
2021-03-31,-7.7
2021-06-30,24.4
2021-09-30,8.5
2021-12-31,8.9
2022-03-31,10.6
2022-06-30,3.8
2022-09-30,2.0
2022-12-31,0.6
2023-03-31,0.6
2023-05-31,0.2
2023-06-30,0.2
2023-09-30,0.2

