date,value
2008-06-30,2.2
2008-09-30,2.3
2008-12-31,2.7
2009-03-31,3.2
2009-06-30,3.2
2009-09-30,3.3
2009-12-31,2.3
2010-03-31,2.2
2010-06-30,2.2
2010-09-30,2.1
2010-12-31,2.2
2011-03-31,1.9
2011-06-30,2.0
2011-09-30,2.1
2011-12-31,2.1
2012-03-31,2.1
2012-06-30,1.9
2012-09-30,1.9
2012-12-31,1.9
2013-03-31,1.9
2013-06-30,2.0
2013-09-30,1.8
2013-12-31,1.9
2014-03-31,2.1
2014-06-30,1.9
2014-09-30,1.9
2014-12-31,1.9
2015-03-31,1.8
2015-06-30,2.0
2015-09-30,1.9
2015-12-31,1.9
2016-03-31,1.9
2016-06-30,2.1
2016-09-30,2.1
2016-12-31,2.2
2017-03-31,2.3
2017-06-30,2.2
2017-09-30,2.1
2017-12-31,2.1
2018-03-31,2.1
2018-06-30,2.1
2018-09-30,2.1
2018-12-31,2.2
2019-03-31,2.2
2019-06-30,2.3
2019-09-30,2.2
2019-12-31,2.3
2020-03-31,2.5
2020-06-30,2.9
2020-09-30,3.4
2020-12-31,3.2
2021-03-31,2.9
2021-06-30,2.7
2021-09-30,2.6
2021-12-31,2.4
2022-03-31,2.2
2022-06-30,2.1
2022-09-30,2.1
2022-12-31,2.0
2023-03-31,1.8
2023-05-31,1.8
2023-06-30,1.8
2023-09-30,1.9

