date,value
2009-03-31,23.0
2009-06-30,23.2
2009-09-30,24.5
2009-12-31,24.1
2010-03-31,25.1
2010-06-30,25.1
2010-09-30,25.4
2010-12-31,23.9
2011-03-31,24.8
2011-06-30,25.6
2011-09-30,25.0
2011-12-31,23.8
2012-03-31,25.0
2012-06-30,24.8
2012-09-30,25.2
2012-12-31,24.5
2013-03-31,25.0
2013-06-30,25.3
2013-09-30,24.5
2013-12-31,24.1
2014-03-31,25.2
2014-06-30,25.5
2014-09-30,25.4
2014-12-31,24.3
2015-03-31,26.4
2015-06-30,25.0
2015-09-30,25.5
2015-12-31,24.5
2016-03-31,26.7
2016-06-30,26.6
2016-09-30,27.1
2016-12-31,26.5
2017-03-31,27.7
2017-06-30,27.7
2017-09-30,27.7
2017-12-31,26.7
2018-03-31,26.7
2018-06-30,27.2
2018-09-30,27.5
2018-12-31,27.1
2019-03-31,27.6
2019-06-30,29.0
2019-09-30,29.1
2019-12-31,29.1
2020-03-31,30.1
2020-06-30,23.3
2020-09-30,30.8
2020-12-31,32.5
2021-03-31,32.6
2021-06-30,34.4
2021-09-30,34.9
2021-12-31,35.3
2022-03-31,34.5
2022-06-30,33.9
2022-09-30,32.9
2022-12-31,32.7
2023-03-31,32.9
2023-06-30,32.6
2023-08-31,32.6
