DATE,NGDPRSAXDCAUQ
1959-07-01,62496
1959-10-01,63043
1960-01-01,67915
1960-04-01,69794
1960-07-01,69950
1960-10-01,69812
1961-01-01,70022
1961-04-01,69252
1961-07-01,68756
1961-10-01,69539
1962-01-01,71491
1962-04-01,72862
1962-07-01,73450
1962-10-01,74770
1963-01-01,76496
1963-04-01,75502
1963-07-01,78602
1963-10-01,80285
1964-01-01,80155
1964-04-01,82132
1964-07-01,82642
1964-10-01,84989
1965-01-01,85704
1965-04-01,87047
1965-07-01,86790
1965-10-01,87001
1966-01-01,86750
1966-04-01,87939
1966-07-01,90425
1966-10-01,91018
1967-01-01,94572
1967-04-01,94436
1967-07-01,96210
1967-10-01,97045
1968-01-01,96182
1968-04-01,99885
1968-07-01,101206
1968-10-01,104977
1969-01-01,104251
1969-04-01,106317
1969-07-01,108079
1969-10-01,110569
1970-01-01,112869
1970-04-01,115139
1970-07-01,114896
1970-10-01,115442
1971-01-01,116841
1971-04-01,117347
1971-07-01,121030
1971-10-01,120638
1972-01-01,119176
1972-04-01,121848
1972-07-01,121231
1972-10-01,122511
1973-01-01,125675
1973-04-01,125918
1973-07-01,127189
1973-10-01,130360
1974-01-01,130383
1974-04-01,127744
1974-07-01,129267
1974-10-01,129392
1975-01-01,129903
1975-04-01,134006
1975-07-01,132538
1975-10-01,130533
1976-01-01,136301
1976-04-01,136725
1976-07-01,137832
1976-10-01,139029
1977-01-01,138274
1977-04-01,140234
1977-07-01,139635
1977-10-01,139189
1978-01-01,140176
1978-04-01,141329
1978-07-01,143478
1978-10-01,144665
1979-01-01,148632
1979-04-01,146247
1979-07-01,147610
1979-10-01,150456
1980-01-01,151132
1980-04-01,151523
1980-07-01,152331
1980-10-01,154948
1981-01-01,155554
1981-04-01,157950
1981-07-01,161143
1981-10-01,160482
1982-01-01,159194
1982-04-01,160602
1982-07-01,159551
1982-10-01,157005
1983-01-01,155461
1983-04-01,155136
1983-07-01,159497
1983-10-01,162135
1984-01-01,166203
1984-04-01,168115
1984-07-01,169534
1984-10-01,170685
1985-01-01,173162
1985-04-01,177021
1985-07-01,179411
1985-10-01,178932
1986-01-01,180097
1986-04-01,179790
1986-07-01,180296
1986-10-01,183254
1987-01-01,185028
1987-04-01,187945
1987-07-01,191349
1987-10-01,195211
1988-01-01,196059
1988-04-01,196202
1988-07-01,197799
1988-10-01,200915
1989-01-01,202971
1989-04-01,207250
1989-07-01,208991
1989-10-01,208418
1990-01-01,210087
1990-04-01,210351
1990-07-01,209144
1990-10-01,210383
1991-01-01,207674
1991-04-01,207330
1991-07-01,208228
1991-10-01,208357
1992-01-01,209950
1992-04-01,211453
1992-07-01,213539
1992-10-01,217965
1993-01-01,219507
1993-04-01,220789
1993-07-01,221058
1993-10-01,225123
1994-01-01,228795
1994-04-01,231539
1994-07-01,233323
1994-10-01,235766
1995-01-01,235855
1995-04-01,236805
1995-07-01,242145
1995-10-01,242088
1996-01-01,246063
1996-04-01,247753
1996-07-01,249670
1996-10-01,251982
1997-01-01,253542
1997-04-01,261081
1997-07-01,261449
1997-10-01,265233
1998-01-01,267016
1998-04-01,269467
1998-07-01,274557
1998-10-01,278682
1999-01-01,280754
1999-04-01,281658
1999-07-01,284916
1999-10-01,289776
2000-01-01,290935
2000-04-01,293672
2000-07-01,294401
2000-10-01,293333
2001-01-01,296387
2001-04-01,298808
2001-07-01,302373
2001-10-01,306031
2002-01-01,308363
2002-04-01,313650
2002-07-01,314596
2002-10-01,317165
2003-01-01,317789
2003-04-01,319138
2003-07-01,324673
2003-10-01,329994
2004-01-01,332567
2004-04-01,334809
2004-07-01,337382
2004-10-01,339911
2005-01-01,342491
2005-04-01,344039
2005-07-01,347892
2005-10-01,350541
2006-01-01,350889
2006-04-01,351692
2006-07-01,356915
2006-10-01,361502
2007-01-01,366510
2007-04-01,368882
2007-07-01,373086
2007-10-01,374588
2008-01-01,378522
2008-04-01,379616
2008-07-01,382361
2008-10-01,380564
2009-01-01,384075
2009-04-01,386924
2009-07-01,388103
2009-10-01,391029
2010-01-01,392736
2010-04-01,395377
2010-07-01,398161
2010-10-01,401665
2011-01-01,400468
2011-04-01,405660
2011-07-01,411125
2011-10-01,415571
2012-01-01,419548
2012-04-01,422620
2012-07-01,425126
2012-10-01,427202
2013-01-01,429075
2013-04-01,430855
2013-07-01,434220
2013-10-01,437747
2014-01-01,441118
2014-04-01,443057
2014-07-01,445127
2014-10-01,446812
2015-01-01,450993
2015-04-01,451357
2015-07-01,455983
2015-10-01,458850
2016-01-01,462924
2016-04-01,465725
2016-07-01,466282
2016-10-01,471354
2017-01-01,472724
2017-04-01,475446
2017-07-01,480078
2017-10-01,482415
2018-01-01,486951
2018-04-01,490505
2018-07-01,492584
2018-10-01,493677
2019-01-01,496140
2019-04-01,498540
2019-07-01,502686
2019-10-01,505283
2020-01-01,504144
2020-04-01,468753
2020-07-01,485131
2020-10-01,501813
2021-01-01,511583
2021-04-01,514593
2021-07-01,505177
2021-10-01,524644
2022-01-01,528374
2022-04-01,533092
2022-07-01,533092
2022-10-01,533092
2023-01-01,533092
