DATE,JPNNGDP
1994-01-01,510128.1
1994-04-01,509014
1994-07-01,512970.8
1994-10-01,511570.7
1995-01-01,514941.5
1995-04-01,518756.7
1995-07-01,525362
1995-10-01,527009.7
1996-01-01,529104.6
1996-04-01,536021
1996-07-01,536104.2
1996-10-01,541124.4
1997-01-01,542201.6
1997-04-01,544052.6
1997-07-01,544014.3
1997-10-01,544945.7
1998-01-01,538022.7
1998-04-01,534794.3
1998-07-01,533895.7
1998-10-01,539270.8
1999-01-01,529084.3
1999-04-01,529003.1
1999-07-01,528592.8
1999-10-01,527854.6
2000-01-01,535186.4
2000-04-01,535349.8
2000-07-01,534440.3
2000-10-01,537844.7
2001-01-01,542538.9
2001-04-01,534251.5
2001-07-01,527027.8
2001-10-01,523929.3
2002-01-01,525444.1
2002-04-01,524235.7
2002-07-01,524200.5
2002-10-01,524426.2
2003-01-01,521345
2003-04-01,524523.4
2003-07-01,524388.5
2003-10-01,526399.6
2004-01-01,529391.2
2004-04-01,527651.3
2004-07-01,530510.5
2004-10-01,529901
2005-01-01,529870.2
2005-04-01,531360.2
2005-07-01,534639.3
2005-10-01,534684.5
2006-01-01,534460.2
2006-04-01,534103
2006-07-01,532335
2006-10-01,539751.9
2007-01-01,541853.2
2007-04-01,542278
2007-07-01,536586.5
2007-10-01,536539.8
2008-01-01,537555.3
2008-04-01,533933.5
2008-07-01,523317.5
2008-10-01,516644.5
2009-01-01,492208.8
2009-04-01,498059.8
2009-07-01,493619.5
2009-10-01,496290.5
2010-01-01,501470.2
2010-04-01,505176.7
2010-07-01,510925.4
2010-10-01,505149.5
2011-01-01,498624
2011-04-01,490858.8
2011-07-01,501045.2
2011-10-01,500145.2
2012-01-01,507499.5
2012-04-01,500297.9
2012-07-01,497550.6
2012-10-01,497149.1
2013-01-01,502979
2013-04-01,507609.5
2013-07-01,512873.3
2013-10-01,512390.9
2014-01-01,516683
2014-04-01,517916.7
2014-07-01,518283.7
2014-10-01,522050.3
2015-01-01,534740.5
2015-04-01,538185.6
2015-07-01,539950.4
2015-10-01,539292.8
2016-01-01,545285.6
2016-04-01,543396.1
2016-07-01,543648.1
2016-10-01,544516.5
2017-01-01,547587.9
2017-04-01,550623.7
2017-07-01,557199.6
2017-10-01,556810.3
2018-01-01,558266
2018-04-01,558930.3
2018-07-01,555480.5
2018-10-01,553608.5
2019-01-01,558569.2
2019-04-01,560833
2019-07-01,561574.7
2019-10-01,550422.1
2020-01-01,554351.9
2020-04-01,512647.8
2020-07-01,539541.9
2020-10-01,548689.2
2021-01-01,548493
2021-04-01,550578.4
2021-07-01,547267.5
2021-10-01,551927.3
2022-01-01,552909.5
2022-04-01,558196.1
2022-07-01,554125.6
2022-10-01,554125.6
2023-01-01,554125.6
