date,value
2009-03-31,-5.6
2009-06-30,-8.9
2009-09-30,-5.0
2009-12-31,-1.6
2010-03-31,4.5
2010-06-30,7.0
2010-09-30,4.8
2010-12-31,4.1
2011-03-31,3.7
2011-06-30,2.8
2011-09-30,4.1
2011-12-31,4.1
2012-03-31,4.8
2012-06-30,4.0
2012-09-30,2.7
2012-12-31,3.1
2013-03-31,0.6
2013-06-30,2.1
2013-09-30,1.5
2013-12-31,1.2
2014-03-31,2.8
2014-06-30,2.3
2014-09-30,2.9
2014-12-31,3.4
2015-03-31,3.4
2015-06-30,3.1
2015-09-30,4.1
2015-12-31,2.6
2016-03-31,2.7
2016-06-30,3.0
2016-09-30,1.7
2016-12-31,3.1
2017-03-31,3.4
2017-06-30,1.7
2017-09-30,1.6
2017-12-31,1.8
2018-03-31,1.5
2018-06-30,3.2
2018-09-30,2.8
2018-12-31,1.3
2019-03-31,1.3
2019-06-30,-1.1
2019-09-30,-0.2
2019-12-31,-0.7
2020-03-31,-0.9
2020-06-30,-18.6
2020-09-30,-8.3
2020-12-31,-4.1
2021-03-31,-3.5
2021-06-30,19.6
2021-09-30,4.3
2021-12-31,1.0
2022-03-31,1.9
2022-06-30,2.4
2022-09-30,4.4
2022-12-31,3.6
2023-03-31,3.7
2023-06-30,3.6
2023-08-31,3.6
