date,value
2009-01-31,6.28
2009-02-28,6.2
2009-03-31,6.04
2009-04-30,6.17
2009-05-31,5.98
2009-06-30,5.74
2009-07-31,5.44
2009-08-31,5.08
2009-09-30,4.89
2009-10-31,4.5
2009-11-30,3.86
2009-12-31,3.57
2010-01-31,4.46
2010-02-28,4.83
2010-03-31,4.97
2010-04-30,4.27
2010-05-31,3.92
2010-06-30,3.69
2010-07-31,3.64
2010-08-31,3.68
2010-09-30,3.76
2010-10-31,4.02
2010-11-30,4.32
2010-12-31,4.4
2011-01-31,3.78
2011-02-28,3.57
2011-03-31,3.04
2011-04-30,3.36
2011-05-31,3.25
2011-06-30,3.28
2011-07-31,3.55
2011-08-31,3.42
2011-09-30,3.14
2011-10-31,3.2
2011-11-30,3.48
2011-12-31,3.82
2012-01-31,4.5
2012-02-29,3.87
2012-03-31,3.73
2012-04-30,3.41
2012-05-31,3.85
2012-06-30,4.34
2012-07-31,4.42
2012-08-31,4.57
2012-09-30,4.77
2012-10-31,4.6
2012-11-30,4.18
2012-12-31,3.57
2013-01-31,3.25
2013-02-28,3.55
2013-03-31,4.25
2013-04-30,4.65
2013-05-31,4.63
2013-06-30,4.09
2013-07-31,3.47
2013-08-31,3.46
2013-09-30,3.39
2013-10-31,3.36
2013-11-30,3.62
2013-12-31,3.97
2014-01-31,4.48
2014-02-28,4.23
2014-03-31,3.76
2014-04-30,3.5
2014-05-31,3.51
2014-06-30,3.75
2014-07-31,4.07
2014-08-31,4.15
2014-09-30,4.22
2014-10-31,4.3
2014-11-30,4.17
2014-12-31,4.08
2015-01-31,3.07
2015-02-28,3.0
2015-03-31,3.14
2015-04-30,3.06
2015-05-31,2.88
2015-06-30,2.87
2015-07-31,2.74
2015-08-31,2.59
2015-09-30,2.52
2015-10-31,2.48
2015-11-30,2.21
2015-12-31,2.13
2016-01-31,2.61
2016-02-29,2.87
2016-03-31,2.6
2016-04-30,2.54
2016-05-31,2.6
2016-06-30,2.54
2016-07-31,2.65
2016-08-31,2.73
2016-09-30,2.97
2016-10-31,3.06
2016-11-30,3.31
2016-12-31,3.36
2017-01-31,4.72
2017-02-28,4.86
2017-03-31,5.35
2017-04-30,5.82
2017-05-31,6.16
2017-06-30,6.31
2017-07-31,6.44
2017-08-31,6.66
2017-09-30,6.35
2017-10-31,6.37
2017-11-30,6.63
2017-12-31,6.77
2018-01-31,5.55
2018-02-28,5.34
2018-03-31,5.04
2018-04-30,4.55
2018-05-31,4.51
2018-06-30,4.65
2018-07-31,4.81
2018-08-31,4.9
2018-09-30,5.02
2018-10-31,4.9
2018-11-30,4.72
2018-12-31,4.83
2019-01-31,4.37
2019-02-28,3.94
2019-03-31,4.0
2019-04-30,4.41
2019-05-31,4.28
2019-06-30,3.95
2019-07-31,3.78
2019-08-31,3.16
2019-09-30,3.0
2019-10-31,3.02
2019-11-30,2.97
2019-12-31,2.83
2020-01-31,3.24
2020-02-29,3.7
2020-03-31,3.25
2020-04-30,2.15
2020-05-31,2.84
2020-06-30,3.33
2020-07-31,3.62
2020-08-31,4.05
2020-09-30,4.01
2020-10-31,4.09
2020-11-30,3.33
2020-12-31,3.15
2021-01-31,3.54
2021-02-28,3.76
2021-03-31,4.67
2021-04-30,6.08
2021-05-31,5.89
2021-06-30,5.88
2021-07-31,5.81
2021-08-31,5.59
2021-09-30,6.0
2021-10-31,6.24
2021-11-30,7.37
2021-12-31,7.36
2022-01-31,7.07
2022-02-28,7.28
2022-03-31,7.45
2022-04-30,7.68
2022-05-31,7.65
2022-06-30,7.99
2022-07-31,8.15
2022-08-31,8.7
2022-09-30,8.7
2022-10-31,8.41
2022-11-30,7.8
2022-12-31,7.82
2023-01-31,7.91
2023-02-28,7.62
2023-03-31,6.85
2023-04-30,6.25
2023-05-31,5.84
2023-06-30,5.06
2023-07-31,4.79
2023-08-31,4.64
