DATE,RGDPNANZA666NRUG
1950-01-01,27230.107421875
1951-01-01,26715.640625
1952-01-01,26713.251953125
1953-01-01,27281.490234375
1954-01-01,30497.646484375
1955-01-01,31727.744140625
1956-01-01,32175.65625
1957-01-01,33853.56640625
1958-01-01,34077.703125
1959-01-01,35384.48828125
1960-01-01,40998.09765625
1961-01-01,43147.7109375
1962-01-01,44046.31640625
1963-01-01,46848.296875
1964-01-01,49278.4375
1965-01-01,52702.53125
1966-01-01,56024.7109375
1967-01-01,53026.9453125
1968-01-01,52844.32421875
1969-01-01,58026.61328125
1970-01-01,57770.95703125
1971-01-01,59957.8515625
1972-01-01,63027.1640625
1973-01-01,67943.453125
1974-01-01,72015.609375
1975-01-01,70768.5234375
1976-01-01,71425.828125
1977-01-01,68614.2734375
1978-01-01,68832.5078125
1979-01-01,70341.1796875
1980-01-01,71244.5625
1981-01-01,74560.765625
1982-01-01,75254.265625
1983-01-01,77882.2734375
1984-01-01,81615.171875
1985-01-01,82932.984375
1986-01-01,85176.9921875
1987-01-01,81504.9140625
1988-01-01,83138.296875
1989-01-01,83575.5390625
1990-01-01,84118.484375
1991-01-01,82736.796875
1992-01-01,83784.65625
1993-01-01,89258.171875
1994-01-01,93914.21875
1995-01-01,98212.875
1996-01-01,101510.828125
1997-01-01,104564.671875
1998-01-01,105679.4453125
1999-01-01,111168.1640625
2000-01-01,113713.28125
2001-01-01,118031.71875
2002-01-01,124004.8203125
2003-01-01,129634.9765625
2004-01-01,133873.5625
2005-01-01,138316.703125
2006-01-01,141875.46875
2007-01-01,147210.578125
2008-01-01,144935.40625
2009-01-01,147712.453125
2010-01-01,149133.6875
2011-01-01,153154.03125
2012-01-01,156981.96875
2013-01-01,160203.125
2014-01-01,166031.75
2015-01-01,173080.09375
2016-01-01,179604.484375
2017-01-01,186806.4375
2018-01-01,192086.03125
2019-01-01,196352.78125
2020-01-01,216352.78125
2021-01-01,226352.78125
2022-01-01,236352.78125
2023-01-01,246352.78125
