date,value
2008-06-30,3.3
2008-09-30,-0.1
2008-12-31,-3.4
2009-03-31,-7.7
2009-06-30,-1.2
2009-09-30,2.8
2009-12-31,6.8
2010-03-31,16.3
2010-06-30,18.6
2010-09-30,10.3
2010-12-31,13.3
2011-03-31,9.2
2011-06-30,2.9
2011-09-30,7.8
2011-12-31,5.3
2012-03-31,4.8
2012-06-30,6.2
2012-09-30,2.0
2012-12-31,4.7
2013-03-31,3.4
2013-06-30,4.6
2013-09-30,6.1
2013-12-31,5.1
2014-03-31,4.3
2014-06-30,3.3
2014-09-30,3.7
2014-12-31,4.5
2015-03-31,3.0
2015-06-30,3.1
2015-09-30,3.7
2015-12-31,2.2
2016-03-31,3.3
2016-06-30,3.0
2016-09-30,3.1
2016-12-31,4.8
2017-03-31,4.7
2017-06-30,3.8
2017-09-30,5.5
2017-12-31,4.7
2018-03-31,5.0
2018-06-30,5.1
2018-09-30,3.2
2018-12-31,1.5
2019-03-31,1.3
2019-06-30,1.0
2019-09-30,0.7
2019-12-31,1.3
2020-03-31,1.2
2020-06-30,-12.2
2020-09-30,-4.6
2020-12-31,-0.9
2021-03-31,2.0
2021-06-30,15.8
2021-09-30,7.5
2021-12-31,6.1
2022-03-31,4.0
2022-06-30,4.5
2022-09-30,4.0
2022-12-31,2.1
2023-03-31,0.1
2023-04-30,0.1
2023-06-30,0.4
2023-09-30,0.5




