date,value
2009-03-31,-14.5
2009-06-30,-6.8
2009-09-30,-1.6
2009-12-31,3.0
2010-03-31,6.9
2010-06-30,8.1
2010-09-30,8.7
2010-12-31,9.7
2011-03-31,11.8
2011-06-30,11.5
2011-09-30,11.6
2011-12-31,10.0
2012-03-31,6.7
2012-06-30,5.0
2012-09-30,3.6
2012-12-31,4.2
2013-03-31,8.4
2013-06-30,9.7
2013-09-30,8.9
2013-12-31,7.0
2014-03-31,8.6
2014-06-30,2.8
2014-09-30,3.4
2014-12-31,5.5
2015-03-31,3.5
2015-06-30,7.2
2015-09-30,5.7
2015-12-31,7.6
2016-03-31,4.9
2016-06-30,5.0
2016-09-30,-0.7
2016-12-31,4.4
2017-03-31,5.3
2017-06-30,5.3
2017-09-30,11.8
2017-12-31,7.3
2018-03-31,7.5
2018-06-30,5.9
2018-09-30,2.5
2018-12-31,-2.6
2019-03-31,-2.5
2019-06-30,-1.6
2019-09-30,1.0
2019-12-31,5.9
2020-03-31,4.3
2020-06-30,-10.4
2020-09-30,6.4
2020-12-31,6.3
2021-03-31,7.5
2021-06-30,22.3
2021-09-30,8.0
2021-12-31,9.7
2022-03-31,7.8
2022-06-30,7.6
2022-09-30,4.1
2022-12-31,3.3
2023-03-31,3.9
2023-06-30,3.8
2023-08-31,3.8
